,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
850,Diesel,SUV,Manual,2,Renault,Renault Duster,2014,5.0,Third Party insurance,70000,19.01,5.0,Others,Bangalore,5 Lakh,5.0
851,Diesel,Sedan,Manual,2,Maruti,Maruti Swift Dzire,2009,3.5,Third Party insurance,120000,19.3,5.0,Others,Bangalore,3.50 Lakh,3.5
852,Diesel,MUV,Manual,2,Toyota,Toyota Innova,2012,11.25,Third Party insurance,120000,12.99,7.0,Others,Bangalore,11.25 Lakh,11.25
853,Petrol,Sedan,Automatic,2,Honda,Honda Amaze,2020,8.3,Third Party insurance,20000,18.3,5.0,Others,Bangalore,8.30 Lakh,8.3
854,Diesel,SUV,Automatic,1,Kia,Kia Seltos,2020,14.75,Third Party,37354,17.8,5.0,Orange,Bangalore,14.75 Lakh,14.75
855,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.34,Comprehensive,80426,15.1,7.0,Others,Bangalore,8.34 Lakh,8.34
856,Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2016,6.74,Comprehensive,89801,20.73,5.0,Silver,Bangalore,6.74 Lakh,6.74
857,Petrol,Sedan,Manual,4,Opel,OpelCorsa,2004,0.65,Third Party insurance,120000,14.2,5.0,Black,Bangalore,"65,000",0.65
858,Petrol,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2019,5.47,Zero Dep,69199,18.9,5.0,Red,Bangalore,5.47 Lakh,5.47
859,Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2012,4.13,Third Party insurance,78249,22.38,5.0,Red,Bangalore,4.13 Lakh,4.13
860,Diesel,MUV,Manual,1,Toyota,Toyota Innova Crysta,2018,23.25,Comprehensive,26918,13.68,8.0,Golden,Bangalore,23.25 Lakh,23.25
861,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2021,7.09,Zero Dep,29905,22.38,5.0,Others,Bangalore,7.09 Lakh,7.09
